,Func 1,Func 2,Func 3,Func 4,Func 5,Func 6,Func 7,Func 8,Func 9,Func 10
0,-0.0009662947512091982,-0.0009465870319322512,-0.0009231975023483159,-0.0009006479030221128,-0.0008640548964900538,-0.0008209564794175342,-0.0007822839060883563,-0.0007645919710667897,-0.0007474841543923021,-0.0007382229439275559
1,-0.0009847383207016508,-0.000964478354794542,-0.0009404401700536173,-0.0009172722679479737,-0.0008796909377684718,-0.0008354529849148846,-0.0007957811356999686,-0.0007776395736228323,-0.0007601015552097382,-0.0007506093594485501
2,-0.001003703366076711,-0.0009828708095996023,-0.0009581603083659387,-0.0009343517916961771,-0.0008957469833839477,-0.0008503297773392112,-0.0008096245837573966,-0.0007910183086664731,-0.0007730358009694139,-0.0007633050091090822
3,-0.0010232092616702117,-0.0010017828497318458,-0.0009763753093736872,-0.0009519028756416172,-0.0009122378946607105,-0.0008656000110962525,-0.0008238259708066144,-0.000804739271437669,-0.0007862974004184375,-0.0007763200916144701
4,-0.0010432762657847164,-0.001021233763627392,-0.0009951033442395112,-0.0009699426484589694,-0.0009291791807513633,-0.0008812774018548113,-0.0008383975073637466,-0.0008188140164695596,-0.0007998972931302748,-0.0007896652215158323
5,-0.0010639255680437933,-0.0010412437191117054,-0.0010143634042072726,-0.0009884890040873623,-0.0009465870319323338,-0.000897376254837185,-0.0008533519181417285,-0.0008332545801122159,-0.0008138468703838403,-0.0008033514493073371
6,-0.0010851793395641924,-0.001061833810452662,-0.0010341753441091496,-0.001007560641935816,-0.0009644783547948293,-0.0009139114947127655,-0.0008687024675943106,-0.0008480735042617608,-0.0008281579972662047,-0.0008173902826099188
7,-0.0011070607862409608,-0.0010830261082891844,-0.0010545599284276018,-0.001027177109463893,-0.0009828708095997582,-0.0009308986972167095,-0.0008844629869971644,-0.0008632838614717193,-0.000842843035943741,-0.0008317937085398065
8,-0.0011295942052596708,-0.0011048437125412607,-0.0010755388802135574,-0.0010473588473712964,-0.0010017828497319466,-0.0009483541226321108,-0.0009006479030209433,-0.000878899281458827,-0.0008579148703009877,-0.0008465742173329404
9,-0.0011528050450930285,-0.0011273108086292877,-0.0010971349329191842,-0.001068127237467147,-0.0010212337636274207,-0.0009662947512086919,-0.0009172722679501161,-0.0008949339791511086,-0.0008733869319347762,-0.0008617448273092461
10,-0.0011767199692380883,-0.0011504527270881778,-0.0011193718854317772,-0.0010895046534603638,-0.001041243719111969,-0.0009847383207010753,-0.000934351791697295,-0.0009114027843160021,-0.0008892732276583726,-0.0008773191112314067
11,-0.0012013669238949173,-0.0011742960069376228,-0.0011422746604871261,-0.0011115145148792899,-0.001061833810452505,-0.0010037033660775362,-0.0009519028756383692,-0.0009283211729526025,-0.0009055883685763564,-0.0008933112241959172
12,-0.001226775209893827,-0.0011988684629405263,-0.0011658693666896486,-0.0011341813442438515,-0.0010830261082893822,-0.001023209261669863,-0.0009699426484577991,-0.0009457053004490923,-0.0009223476008151734,-0.0009097359331100524
13,-0.0012529755591430317,-0.0012241992571035746,-0.001190183364379969,-0.0011575308278123932,-0.0011048437125425763,-0.0010432762657855074,-0.0009884890040873498,-0.0009635720367186388,-0.0009395668380982827,-0.0009266086478820564
14,-0.0012800002158851057,-0.0012503189746464814,-0.001215245335625796,-0.001181589880079972,-0.0011273108086289711,-0.001063925568043175,-0.001007560641934236,-0.0009819390034135334,-0.0009572626961242081,-0.000943945454422501
15,-0.0013078830231349706,-0.0012772597047865696,-0.0012410853585848175,-0.0012063867122746672,-0.0011504527270879117,-0.00108517933956441,-0.0010271771094644238,-0.0010008246132977828,-0.0009754525290698678,-0.0009617631495454083
16,-0.00133665951459665,-0.0013050551266115028,-0.0012677349865720705,-0.0012319509051792056,-0.0011742960069375389,-0.0011070607862420179,-0.0010473588473721542,-0.0010202481120131386,-0.0009941544681902124,-0.0009800792779951608
17,-0.0013663670124577961,-0.0013337406004583583,-0.0012952273321238138,-0.0012583134865020475,-0.0011988684629406828,-0.0011295942052609899,-0.0010681272374669845,-0.0010402296223260808,-0.0010133874627116055,-0.0009989121715891665
