,Latitude(deg),Longitude(deg),Values
0,1.317464,104.001593,-0.02
1,1.317464,104.00160238,-0.02
2,1.317464,104.00161175999999,-0.02
3,1.317464,104.00162113999998,-0.02
4,1.317464,104.00163051999998,-0.01
5,1.317464,104.00163989999997,-0.01
6,1.317464,104.00164927999997,-0.01
7,1.317464,104.00165865999996,-0.01
8,1.317464,104.00166803999996,-0.01
9,1.317464,104.00167741999995,-0.01
10,1.317464,104.00168679999994,0.0
11,1.317464,104.00169617999994,0.0
12,1.317464,104.00170555999993,0.0
13,1.317464,104.00171493999993,0.0
14,1.317464,104.00172431999992,0.0
15,1.317464,104.00173369999992,0.0
16,1.317464,104.00174307999991,0.0
17,1.317464,104.0017524599999,0.0
18,1.317464,104.0017618399999,0.0
19,1.317464,104.0017712199999,0.0
20,1.317464,104.00178059999989,0.0
21,1.317464,104.00178997999988,0.0
22,1.317464,104.00179935999988,0.0
23,1.317464,104.00180873999987,0.0
24,1.317464,104.00181811999987,0.0
25,1.317464,104.00182749999986,0.0
26,1.317464,104.00183687999986,0.0
27,1.317464,104.00184625999985,0.0
28,1.317464,104.00185563999985,0.0
29,1.317464,104.00186501999984,0.0
30,1.317464,104.00187439999983,0.0
31,1.317464,104.00188377999983,0.0
32,1.317464,104.00189315999982,0.0
33,1.317464,104.00190253999982,0.0
34,1.317464,104.00191191999981,0.0
35,1.317464,104.00192129999981,0.0
36,1.317464,104.0019306799998,0.0
37,1.317464,104.0019400599998,0.0
38,1.317464,104.00194943999979,0.0
39,1.317464,104.00195881999979,0.0
40,1.317464,104.00196819999978,0.0
41,1.317464,104.00197757999977,0.0
42,1.317464,104.00198695999977,0.0
43,1.317464,104.00199633999976,0.0
44,1.317464,104.00200571999976,0.0
45,1.317464,104.00201509999975,0.0
46,1.317464,104.00202447999975,0.0
47,1.317464,104.00203385999974,0.0
48,1.317464,104.00204323999974,0.0
49,1.317464,104.00205261999973,0.0
50,1.3175326,104.001593,-0.01
51,1.3175326,104.00160238,-0.01
52,1.3175326,104.00161175999999,-0.01
53,1.3175326,104.00162113999998,-0.02
54,1.3175326,104.00163051999998,-0.02
55,1.3175326,104.00163989999997,-0.02
56,1.3175326,104.00164927999997,-0.01
57,1.3175326,104.00165865999996,-0.01
58,1.3175326,104.00166803999996,-0.01
59,1.3175326,104.00167741999995,-0.01
60,1.3175326,104.00168679999994,-0.01
61,1.3175326,104.00169617999994,-0.01
62,1.3175326,104.00170555999993,0.0
63,1.3175326,104.00171493999993,0.0
64,1.3175326,104.00172431999992,0.0
65,1.3175326,104.00173369999992,0.0
66,1.3175326,104.00174307999991,0.0
67,1.3175326,104.0017524599999,0.0
68,1.3175326,104.0017618399999,0.0
69,1.3175326,104.0017712199999,0.0
70,1.3175326,104.00178059999989,0.0
71,1.3175326,104.00178997999988,0.0
72,1.3175326,104.00179935999988,0.0
73,1.3175326,104.00180873999987,0.0
74,1.3175326,104.00181811999987,0.0
75,1.3175326,104.00182749999986,0.0
76,1.3175326,104.00183687999986,0.0
77,1.3175326,104.00184625999985,0.0
78,1.3175326,104.00185563999985,0.0
79,1.3175326,104.00186501999984,0.0
80,1.3175326,104.00187439999983,0.0
81,1.3175326,104.00188377999983,0.0
82,1.3175326,104.00189315999982,0.0
83,1.3175326,104.00190253999982,0.0
84,1.3175326,104.00191191999981,0.0
85,1.3175326,104.00192129999981,0.0
86,1.3175326,104.0019306799998,0.0
87,1.3175326,104.0019400599998,0.0
88,1.3175326,104.00194943999979,0.0
89,1.3175326,104.00195881999979,0.0
90,1.3175326,104.00196819999978,0.0
91,1.3175326,104.00197757999977,0.0
92,1.3175326,104.00198695999977,0.0
93,1.3175326,104.00199633999976,0.0
94,1.3175326,104.00200571999976,0.0
95,1.3175326,104.00201509999975,0.0
96,1.3175326,104.00202447999975,0.0
97,1.3175326,104.00203385999974,0.0
98,1.3175326,104.00204323999974,0.0
99,1.3175326,104.00205261999973,0.0
100,1.3176012000000001,104.001593,-0.01
101,1.3176012000000001,104.00160238,-0.01
102,1.3176012000000001,104.00161175999999,-0.01
103,1.3176012000000001,104.00162113999998,-0.01
104,1.3176012000000001,104.00163051999998,-0.01
105,1.3176012000000001,104.00163989999997,-0.01
